City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,18.85,55,0,2.68,US,1699550126
1,alice springs,-23.7,133.8833,18.75,48,76,3.09,AU,1699549991
2,isafjordur,66.0755,-23.124,4.02,65,75,8.23,IS,1699550108
3,irymple,-34.25,142.1667,20.59,36,1,3.11,AU,1699550240
4,mary,37.0,62.5,14.04,33,89,6.39,TM,1699550240
5,piti village,13.4626,144.6933,28.03,88,20,4.12,GU,1699550241
6,ilulissat,69.2167,-51.1,-1.99,74,75,5.14,GL,1699550242
7,college,64.8569,-147.8028,2.99,60,100,4.63,US,1699550107
8,tvoroyri,61.5556,-6.8111,8.31,81,76,8.11,FO,1699550243
9,blackmans bay,-43.0167,147.3167,13.62,95,2,2.64,AU,1699550243
10,guerrero negro,27.9769,-114.0611,21.15,56,0,0.83,MX,1699549859
11,arraial do cabo,-22.9661,-42.0278,29.92,37,0,7.2,BR,1699550245
12,stanley,54.868,-1.6985,6.55,86,20,1.54,GB,1699550245
13,iqaluit,63.7506,-68.5145,-0.15,69,75,4.12,CA,1699550090
14,pandan,14.0453,124.1694,27.06,85,12,4.88,PH,1699550246
15,port-aux-francais,-49.35,70.2167,5.47,95,100,11.61,TF,1699550247
16,adamstown,-25.066,-130.1015,22.44,87,100,7.0,PN,1699550104
17,jizzax,40.1158,67.8422,10.29,46,27,1.54,UZ,1699550248
18,thinadhoo,0.5333,72.9333,27.35,78,93,2.84,MV,1699550249
19,naze,28.3667,129.4833,23.51,78,73,4.14,JP,1699550249
20,kapuskasing,49.4169,-82.4331,-1.0,86,100,5.66,CA,1699550131
21,bethel,41.3712,-73.414,12.49,73,100,1.54,US,1699550251
22,albany,42.6001,-73.9662,8.13,72,98,1.89,US,1699550065
23,saldanha,-33.0117,17.9442,19.03,78,0,8.22,ZA,1699550252
24,huntsville,34.7304,-86.5861,23.0,72,100,3.09,US,1699550100
25,tabas,33.5959,56.9244,17.12,31,0,2.06,IR,1699550253
